players_id,player_known_name
1550,Aaron Smith
1563,Beauden Barrett
2255,Josh Dickson
4267,Pieter-Steph du Toit
6355,Runya Che
6431,Shogo Miura
6462,Kazuki Himeno
6474,Kaito Shigeno
7866,Mitsuru Furukawa
8897,William Tupou
20488,Yoshikatsu Hikosaka
22846,Ryuhei Arita
30653,Masakatsu Hikosaka
33552,Jongchu Ryang
33616,Kenta Fukuda
34847,Daichi Akiyama
34848,Masato Furukawa
35072,Shuhei Yamaguchi
35242,Genki Sudo
35314,Lautaimi Fetuani
35419,Tiaan Falcon
35635,Tom Robinson
37686,Viliame Tuidraki
42793,Jone Turaganivalu Nabetelevu
43135,Siosaia Fifita
43139,Ryunosuke Momoji
44146,Ryoma Nishimura
44150,Yusuke Kizu
44152,Yuki Okada
44905,Vatiliai Tuidraki
45090,Charlie Lawrence
47284,Dick Wilson
49383,Taichi Takahashi
49384,Ryusei Kato
901636,Takemichi Nakano
901640,Yuji Takei
901641,Shunsuke Asaoka
902035,Viliami Lea
904600,Gaku Shimizu
904654,Toshikazu Nobeyama
904655,Masahiro Kitamura
905788,Ryusei Koike
907776,Yuichiro Wada
907777,Rintaro Maruyama
907778,Kaisei Tamura
909577,Kippei Taninaka
909605,Isaiah Mapusua
912093,Issa Yamakawa
912094,Chihiro Matsuyama
912095,Kouta Oyabu
912324,Taiga Kawasaki
912382,Jingo Murata
912517,Kosei Miki
912597,Akito Okui
912822,Takuma Nishino
912823,Shintaro Fukuzawa
312,Nathan Hughes
1183,Paddy Ryan
1945,Matt McGahan
1992,Hadleigh Parkes
2156,Jacob Skeen
2171,Mike Stolberg
6205,Pohiva Yamato Lotoahea
6208,Daiki Yanagawa
6209,Shota Yamamoto
6221,Masatoshi Nakamura
6428,Yuki Ikeda
6465,Daisuke Hamano
7886,Josh Goodhue
33558,Brodi McCurran
33581,Talau Fakatava
33582,Junpei Yukawa
33584,Amato Fakatava
33605,Shuhei Matsuhashi
33607,Kohei Horigome
34625,Amanaki Lotoahea
34816,Takao Makabe
34817,Kazuhiro Koike
34819,Toshiya Takahashi
34821,Takehiro Nakazawa
36588,Kazuma Nishi
37213,Semisi Tupou
37371,Isaac Lucas
39913,Shinichi Tanaka
41485,Masashi Onishi
42856,Netani Vakayalia
43138,Yuichiro Taniguchi
43145,Yoshiyuki Koga
43198,Shohei Oyama
44915,Taichi Chiba
49875,Ryohei Isoda
50012,Takanobu Minami
901589,Hinata Takei
901590,Tomoya Yamamura
901591,Daigo Sasagawa
901593,Yuta Kurihara
901594,Daisuke Nishikawa
901595,Taira Main
901658,Shin Ouchi
904648,Harrison Fox
904698,Siope Lolo Tavo
905704,Shu Yamamoto
907722,Larzlo Sword
908713,Ko Sato
912096,Lulu Paea
912097,Otoya Kihara
912098,Norihiro Aso
912099,Takumi Aoki
912100,Ichigo Nakakusu
912101,Kosei Nakamura
912102,Shogo Yamamura
1530,Matt To'omua
1930,Jackson Hemopo
2231,Matt Vaega
2485,Walt Steenkamp
6094,Yoshimitsu Yasue
6410,Tonisio Vaihu
9134,Brackin Karauria-Henry
11403,Jack Stratton
21285,Masataka Tsuruya
26352,Linde Makoto Daniel
30655,Yu Chinen
34891,Marino Mikaele-Tu'u
35312,Kota Iwamura
35557,Epineri Uluiviti
36309,Jonmun Han
36590,Kyo Yoshida
36662,Honeti Taumohaapai
37069,James Grayson
37153,Curtis Rona
39490,TJ Vaega
40966,Atsuro Nakamura
41610,Tomoyuki Ochiai
41622,Ryoma Tokuda
43306,Tomoaki Ishii
44462,Ben Paltridge
45216,Roland Alaia'sa
45271,Yu Okudaira
47279,Joichiro Iwashita
47280,Taro Aihara
47281,Kohki Sato
47283,Kazuki Ishida
47337,Nozomi Nara
47711,Jun Morimoto
49244,Fisipuna Tuiaki
49424,Yuki Miyazato
49431,Hayato Hosoda
901603,Maoya Nakagawa
901624,Akihiro Ogiso
901648,Shinya Tanaka
901680,Kento Nakai
904701,Yusuke Sakamoto
904702,Takumi Sugiura
904771,Taichi Takahashi
905682,Shunsuke Sakamoto
905796,Ryuto Fukuyama
907781,Mototsugu Hachiya
908721,Cho Songyu
908722,Ryoto Shibata
908723,Kouki Hattori
908725,Timote Tavalea
909718,Ryuta Nakamori
910047,Satoshi Koizumi
912075,Kanzo Schinckel
912076,DJ Kashima
912077,Kakeru Umemoto
912078,Riku Mishima
912785,Shoki Yoshimoto
1407,Will Genia
1487,Quade Cooper
1962,Jed Brown
2265,Semisi Masirewa
5293,Ben Toolis
5789,Tom Hendrickson
6425,Daisuke Noguchi
7887,James Blackwell
10270,Tsuyoshi Murata
11327,Tevita Tupou
11711,Sanaila Waqa
11997,Yoshizumi Takeda
21115,Isamu Matsuoka
34854,Keiichi Kaneko
34859,Ren Takano
35299,Hiroto Kobayashi
35434,Andrew Makalio
35807,Shota Hirono
36311,Patrick Stehlin
36680,Shun Sasaki
37202,Patrick Tafa
38976,Kenta Tanaka
43265,Shohei Nonaka
43882,Jose Seru
45215,Songyong Lee
47072,Joshua Nohra
47073,Kota Mitake
47074,Takahito Sugahara
47317,Shinki Ushikubo
48759,Keita Sahara
49425,Yusho Takeda
901041,Ryosuke Kataoka
901042,Takumi Yoshimoto
901534,Akihide Onogi
902045,Hayato Yokoi
902107,Yuchol Mun
902108,Kazuma Matsuda
902109,Koji Okamura
902110,Tomoya Kimura
902111,Tomoya Nakamura
904672,Nesta Mahina
904673,Keitaro Hitora
905643,Kotaro Takahashi
905644,Lata Tangimana
905691,Takahiro Hayashi
905692,Reiya Ueyama
908837,Taiki Miyashita
908838,Kensho Kawamura
908848,Liekina Kaufusi
909574,Syu Umemura
909575,Haruki Kanazawa
909604,Sho Fukui
909687,Yushi Inoue
909715,Vincent Sefo
909765,Ryo Iwakami
912069,Joseph Domoni
912299,Sebastian Sialau
1545,Brodie Retallick
4737,Hiroshi Yamashita
4741,Atsushi Hiwasa
4802,Ardie Savea
6087,Ryohei Yamanaka
6091,Rakuhei Yamashita
6101,Koki Yamamoto
6417,Takuya Kitade
6421,Hikaru Hashimoto
6433,Takayuki Watanabe
6448,Naohiro Kotaki
7877,Go Maeda
7878,Daiki Nakajima
7879,Ataata Moeakiola
11246,Bryn Gatland
11354,Michael Little
25043,Isileli Nakajima
31710,Timothy Lafaele
33559,Kentaro Obata
33614,Ryo Inoue
33974,Gerard Cowley-Tuioti
33986,Ngani Laumape
34631,Hiroaki Ushihara
34938,Seokhwan Jang
34942,Shintaro Hayashi
35787,Suguru Igarashi
36313,Kosuke Naka
36594,Takara Imamura
38245,Jiwon Gu
39977,Amanaki Saumaki
42787,Waisake Raratabu
44439,Shinsuke Iseki
45347,Taihei Kusaka
47304,Kenta Tokuda
47674,Willie Potgieter
